num,bug.id,treat,temp.avg,temp.var,date.died,date.mass.1,date.5,date.6,mass.6,daysince.5.6,mass.1,daysince.5.1,date.mass.2,mass.2,daysince.5.2,after.10,final.mass,notes,,,
346,30.10_p_33,para,30,10,8/22/17,8/17/17,8/15/17,8/22/17,,7,870.39,2,,,,30.10,,"removed cuticle from 6th prolegs 1 day after molt to 4th. molted into 6th 8/22/17, did not shed any of it's cuticle, I tried to remove it and it died in the process.",,,
348,30.10_p_35,para,30,10,,8/17/17,8/10/17,,,,5885.94,7,8/29/17,7444.78,19,25.00,6469.16,"removed cuticle from 5th and 6th prolegs 1 day after molt to 5th. died 9/4/17. weighed:6469.16. very gross, but saved for dissection",,,
349,30.10_p_36,para,30,10,9/1/17,8/17/17,8/11/17,,,,6822.49,6,8/29/17,9613.25,18,30.10,8674.04,"weighed 8674.04 at death. removed cuticle from 6th prolegs after molt to 5th. died 9/1/17, saved for dissection",,,
351,30.10_p_38,para,30,10,,8/17/17,8/12/17,,,,5418.83,5,,,,30.10,,"pupated. head capsule damaged during ovp--bled sl. removed cuticle from 6th prolegs after molt to 4th. wandered--unsuccesful ovp, or dead wasp eggs? put in pupae box for now, maybe will dissect. Pupated 8/25. Mass: 3440.02. Did not fullu shed larval cuticle. Frozen for dissection",,,
354,30.10_p_39,para,30,10,8/27/17,8/17/17,8/11/2017,,,,10735.79,6,,,,30.10,,"removed cuticle from 5th and 6th prolegs after molt to 5th. was very gross after death, was not saved for dissection",,,
357,30.10_p_40,para,30,10,,8/17/17,8/13/17,8/18/17,3119.77,5,3240.05,4,8/29/17,14895.76,16,25.00,13404.84,"removed cuticle from 6th prolegs after molt to 5th. molted into 6th on 8/18/17, weight = 3119.77 ; removed cuticle (was still attached to legs). Wandered (?) 9/9/17--put in pupae box to see if it would pupate. Mass at wandering:13404.84. put at 25C in pupae box. Died as larval pupal intermediate at 9/16/17. frozen for dissection",,,
360,30.10_p_41,para,30,10,,8/17/17,8/9/17,,,,4854.96,8,8/29/17,6028.5,20,25.00,,,,,
366,30.10_p_43,para,30,10,,8/17/17,8/9/17,,,,4870.35,8,8/29/17,4674.64,20,30.10,,,,,
374,30.10_p_46,para,30,10,9/2/17,8/17/17,8/12/17,8/18/17,2716.92,6,3253.78,5,8/29/17,3152.63,17,30.10,3149.89,"died 9/2/17. Weighed 3149.89. Saved for dissection. removed cuticle from 6th prolegs after molt to 5th. molted into 6th on 8/18/17, weight = 2716.92; removed cuticle from second proleg.",,,
392,30.10_p_47,para,30,10,,8/17/17,8/12/17,,,,3220.12,5,,,,30.10,,wasps emerged. no wasp eclosion,,,
393,30.10_p_48,para,30,10,,8/17/17,8/12/17,,,,1421.55,5,8/29/17,2112.67,17,25.00,,removed cuticle from all prolegs after molt to 5th,,,
394,30.10_p_49,para,30,10,,8/17/17,8/13/17,,,,1938.07,4,,,,30.10,,"removed cuticle from all prolegs after molt to 5th. dissected wasp larvae mix of large and small 2nds, maybe 1sts",,,
395,30.10_p_50,para,30,10,,8/17/17,8/13/17,,,,2182.28,4,,,,30.10,,"horn damaged during ovp, bled",,,
397,30.10_p_52,para,30,10,,8/17/17,8/13/17,,,,1897.55,4,,,,30.10,,removed cuticle from 6th prolegs after molt to 5th. no wasp eclosion. dissected wasp larvae mix of 1sts and 2nds,,,
399,30.10_p_54,para,30,10,,8/17/17,8/14/17,,,,1954.39,3,,,,30.10,,removed cuticle from 5th and 6th prolegs after molt to 5th. dissected wasp larvae mix of 1st and 2nds,,,
400,30.10_p_55,para,30,10,,8/17/17,8/14/17,,,,1566.36,3,,,,30.10,,removed cuticle from 6th prolegs after molt to 5th. Could not find wasps after emergence--eaten? Frozen 8/27/17,,,
401,30.10_p_56,para,30,10,,8/17/17,8/12/17,,,,2591.38,5,,,,30.10,,,,,
420,30.10_p_58,para,30,10,,8/29/17,8/22/17,8/27/17,3125.01,5,6366.04,7,,,,30.10,,"molted to 6th instar 8/27/17. Mass: 3125.01. Removed cuticle from 5th and 6th prolegs after molt to 6th. Very purple, thought it was dead, but maybe moved?? is still alive, but very purple on 9/13/17",,,
423,30.10_p_59,para,30,10,,8/29/17,8/22/17,,,,2094.17,7,,,,30.10,,,,,
426,30.10_p_60,para,30,10,,8/29/17,8/22/17,,,,2651.46,7,,,,30.10,,,,,
432,30.10_p_62,para,30,10,,8/29/17,8/22/17,,,,6959.11,7,,,,30.10,,"died 9/9/17, forzen for dissection. dissected with no sign of eggs or larvae",,,
436,30.10_p_63,para,30,10,,8/29/17,8/23/17,,,,5245.16,6,,,,30.10,,"field bug, saving to pupate and eclose for field pop in lab",,,
439,30.10_p_64,para,30,10,,8/29/17,8/22/17,8/27/17,2236.84,5,3718.14,7,,,,30.10,,"removed cuticle from 5th and 6th prolegs after molt to 6th. Molt to 6th 8/27/17. Mass: 2236.84. died 9/17/17, frozen for dissection",,,
448,30.10_p_67,para,30,10,,8/29/17,8/23/17,,,,336.93,6,,,,30.10,,,,,
449,30.10_p_68,para,30,10,,8/29/17,8/25/17,,,,519.77,4,,,,30.10,,,,,
461,30.10_p_72,para,30,10,9/12/17,8/29/17,8/24/17,,,,837.45,5,,,,30.10,,removed cuticle from 5th prolegs 3 days after molt to 5th,,,
465,30.10_p_73,para,30,10,,8/29/17,8/27/17,,,,166.88,2,,,,30.10,,did not shed cuticle past last thoracic legs at molt to 5th--could not remove all ,,,
471,30.10_p_75,para,30,10,,8/29/17,8/27/17,,,,319.08,2,,,,30.10,,,,,
492,30.10_p_82,para,30,10,,8/29/17,8/25/17,,,,258.73,4,,,,30.10,,,,,
495,30.10_p_83,para,30,10,,8/29/17,8/27/17,,,,174.01,2,,,,30.10,,removed cuticle from 6th prolegs after molt to 5th. very small 5th,,,
498,30.10_p_84,para,30,10,,8/29/17,8/23/17,,,,2445.55,6,,,,30.10,,died 9/18/17. Frozen for dissection,,,
